"year","month","day","week","death","temp"
2000,12,25,1514,60,4.07805786132815
2000,12,26,1514,43,2.90715942382815
2000,12,27,1514,53,4.25814208984377
2000,12,28,1514,42,2.34392700195315
2000,12,29,1514,61,1.60579833984377
2000,12,30,1514,60,0.00255737304689774
2000,12,31,1514,60,-0.156774902343727
2001,1,1,1515,48,6.55510864257815
2001,1,2,1515,59,9.1689392089844
2001,1,3,1515,39,7.1547790527344
2001,1,4,1515,54,8.80401000976565
2001,1,5,1515,48,10.4563842773438
2001,1,6,1515,43,6.62246093750002
2001,1,7,1515,58,4.66713867187502
2001,1,8,1516,61,3.5213562011719
2001,1,9,1516,49,3.59111938476565
2001,1,10,1516,50,7.12557373046877
2001,1,11,1516,68,7.7618347167969
2001,1,12,1516,65,4.15972290039065
2001,1,13,1516,60,0.483392333984398
2001,1,14,1516,49,0.209039306640648
2001,1,15,1517,52,-1.00150146484373
2001,1,16,1517,54,0.558770751953148
2001,1,17,1517,50,0.557580566406273
2001,1,18,1517,48,2.70931396484377
2001,1,19,1517,66,2.70818481445315
2001,1,20,1517,63,1.1362243652344
2001,1,21,1517,43,3.7503601074219
2001,1,22,1518,57,7.82180175781252
2001,1,23,1518,48,9.17415771484377
2001,1,24,1518,38,9.39067993164065
2001,1,25,1518,59,7.22585449218752
2001,1,26,1518,51,5.83681640625002
2001,1,27,1518,37,4.5478454589844
2001,1,28,1518,45,4.25216064453127
2001,1,29,1519,51,3.20473632812502
2001,1,30,1519,58,2.04827270507815
2001,1,31,1519,52,2.13302001953127
2001,2,1,1519,42,-0.708013916015602
2001,2,2,1519,56,2.27532348632815
2001,2,3,1519,41,7.22237548828127
2001,2,4,1519,54,10.2209716796875
2001,2,5,1520,53,9.65932617187502
2001,2,6,1520,63,11.2095581054688
2001,2,7,1520,68,10.1666198730469
2001,2,8,1520,53,8.59420166015627
2001,2,9,1520,50,3.68404541015627
2001,2,10,1520,41,3.4695983886719
2001,2,11,1520,66,10.7178283691406
2001,2,12,1521,54,9.96233520507815
2001,2,13,1521,58,6.5026794433594
2001,2,14,1521,51,4.43044433593752
2001,2,15,1521,45,3.62038574218752
